"lemma","présent","passécomposé","futur","subjonctif"
"extraire","j`extrais, nous extrayons","j`ai extrait","j`extrairai","que j`extraie, que nous extrayions"
"soustraire","je soustrais, nous soustrayons","j`ai soustrait","je soustrairai","que je soustraie, que nous soustrayions"
"braire","je brais, nous brayons","j`ai brait","je brairai","que je braie, que nous brayions"
"vaincre","je vaincs, nous vainquons","j`ai vaincu","je vaincrai","que je vainque"
"convaincre","je convaincs, nous convainquons","j`ai convaincu","je convaincrai","que je convainque"
"valoir","je vaux, nous valons","j`ai valu","je vaudrai","que je vaille, que nous valions"
"équivaloir","j`équivaux, nous équivalons","j`ai équivalu","j`équivaudrai","que j`équivaille, que nous équivalions"
"prévaloir","je prévaux, nous prévalons","j`ai prévalu","je prévaudrai","que je prévale, que nous prévalions"
"revaloir","je revaux, nous revalons","j`ai revalu","je revaudrai","que je revaille, que nous revalions"
"vêtir","je vêts, nous vêtons","j`ai vêtu","je vêtirai","que je vête, que nous vêtions"
"dévêtir","je dévêts, nous dévêtons","j`ai dévêtu","je dévêtirai","que je dévête, que nous dévêtions"
"revêtir","je revêts, nous revêtons","j`ai revêtu","je revêtirai","que je revête, que nous revêtions"
"vivre","je vis, nous vivons","j’ai vécu","je vivrai","que je vive"
"revivre","je revis, nous revivons","j’ai revécu","je revivrai","que je revive"
"survivre","je survis, nous survivons","j’ai survécu","je survivrai","que je survive"
"voir","je vois, nous voyons","j’ai vu","je verrai","que je voie, que nous voyions"
"entrevoir","j`entrevois, nous entrevoyons","j’ai entrevu","j`entreverrai","que j`entrevoie, que nous entrevoyions"
"prévoir","je prévois, nous prévoyons","j’ai prévu","je prévoirai","que je prévoie, que nous prévoyions"
"revoir","je revois, nous revoyons","j’ai revu","je reverrai","que je revoie, que nous revoyions"
"vouloir","je veux, nous voulons","j’ai voulu","je voudrai","que je veuille, que nous voulions"
"enfreindre","j`enfreins, nous enfreignons","j`ai enfreint","j`enfreindrai","que j`enfreigne"
"forfaire","je forfais","j`ai forfait","–","–"
"inscrire","j`inscris, nous inscrivons","j`ai inscrit","j`inscrirai","que j`inscrive"
"occire","–","j`ai occis","j`occirai","–"
"pendre","je pends, nous pendons","j`ai pendu","je pendrai","que je pende"
"surécrire","je surécris, nous surécrivons","j`ai surécrit","je surécrirai","que je surécrive"
"repourvoir","je repourvois, nous repourvoyons","j'ai repourvu","je repourvoirai","que je repourvoie"
