"lemma","présent","passécomposé","futur","subjonctif"
"offrir","j`offre","j`ai offert","j`offrirai","que j`offre"
"craindre","je crains, nous craignons","j`ai craint","je craindrai","que je craigne"
"contraindre","je contrains, nous contraignons","j`ai contraint","je contraindrai","que je contraigne"
"plaindre","je plains, nous plaignons","j`ai plaint","je plaindrai","que je plaigne"
"croire","je crois, nous croyons","j’ai cru","je croirai","que je croie, que nous croyions"
"accroire","j`accrois, nous accroyons","j’ai accru","j`accroirai","que j`accroie, que nous accroyions"
"croître","je croîs, nous croissons","j`ai crû","je croîtrai","que je croisse"
"accroître","j`accrois, nous accroissons","j`ai accru","j`accroîtrai","que j`accroisse"
"décroître","je décrois, nous décroissons","j`ai décru","je décroîtrai","que je décroisse"
"recroître","je recrois, nous recroissons","j`ai recrû","je recroîtrai","que je recroisse"
"cueillir","je cueille","j`ai cueilli","je cueillerai","que je cueille"
"accueillir","j`accueille","j`ai accueilli","j`accueillerai","que j`accueille"
"recueillir","je recueille","j`ai recueilli","je recueillerai","que je recueille"
"cuire","je cuis, nous cuisons","j`ai cuit","je cuirai","que je cuise"
"recuire","je recuis, nous recuisons","j`ai recuit","je recuirai","que je recuise"
"conduire","je conduis, nous conduisons","j`ai conduit","je conduirai","que je conduise"
"déduire","je déduis, nous déduisons","j`ai déduit","je déduirai","que je déduise"
"éconduire","j`éconduis, nous éconduisons","j`ai éconduit","j`éconduirai","que j`éconduise"
"enduire","j`enduis, nous enduisons","j`ai enduit","j`enduirai","que j`enduise"
"induire","j`induis, nous induisons","j`ai induit","j`induirai","que j`induise"
"introduire","j`introduis, nous introduisons","j`ai introduit","j`introduirai","que j`introduise"
"produire","je produis, nous produisons","j`ai produit","je produirai","que je produise"
"reconduire","je reconduis, nous reconduisons","j`ai reconduit","je reconduirai","que je reconduise"
"réduire","je réduis, nous réduisons","j`ai réduit","je réduirai","que je réduise"
"réintroduire","je réintroduis, nous réintroduisons","j`ai réintroduit","je réintroduirai","que je réintroduise"
"renduire","je renduis, nous renduisons","j`ai renduit","je renduirai","que je renduise"
"reproduire","je reproduis, nous reproduisons","j`ai reproduit","je reproduirai","que je reproduise"
"retraduire","je retraduis, nous retraduisons","j`ai retraduit","je retraduirai","que je retraduise"
"séduire","je séduis, nous séduisons","j`ai séduit","je séduirai","que je séduise"
"traduire","je traduis, nous traduisons","j`ai traduit","je traduirai","que je traduise"
"construire","je construis, nous construisons","j`ai construit","je construirai","que je construise"
"détruire","je détruis, nous détruisons","j`ai détruit","je détruirai","que je détruise"
"instruire","je instruis, nous instruisons","j`ai instruit","je instruirai","que je instruise"
"reconstruire","je reconstruis, nous reconstruisons","j`ai reconstruit","je reconstruirai","que je reconstruise"
"devoir","je dois, nous devons","j`ai dû","je devrai","que je doive, que nous devions"
"redevoir","je redois, nous redevons","j`ai redû","je redevrai","que je redoive, que nous redevions"
"dire","je dis, nous disons","j’ai dit","je dirai","que je dise "
"contredire","je contredis, nous contredisons","j’ai contredit","je contredirai","que je contredise "
"dédire","je dédis, nous dédisons","j’ai dédit","je dédirai","que je dédise "
"interdire","j`interdis, nous interdisons","j’ai interdit","j`interdirai","que j`interdise "
"maudire","je maudis, nous maudissons","j’ai maudit","je maudirai","que je maudisse "
"médire","je médis, nous médisons","j’ai médit","je médirai","que je médise "
"prédire","je prédis, nous prédisons","j’ai prédit","je prédirai","que je prédise "
"redire","je dis, nous disons","j’ai dit","je dirai","que je dise "
"dormir","je dors, nous dormons","j`ai dormi","je dormirai","que je dorme"
"endormir","j`endors, nous endormons","j`ai endormi","je endormirai","que j`endorme"
"rendormir","je rendors, nous rendormons","j`ai rendormi","je rendormirai","que je rendorme"
"écrire","j`écris, nous écrivons","j’ai écrit","j’écrirai","que j’écrive"
"circonscrire","je circonscris, nous circonscrivons","j’ai circonscrit","je circonscrirai","que je circonscrive"
"décrire","je décris, nous décrivons","j’ai décrit","je décrirai","que je décrive"
"prescrire","je prescris, nous prescrivons","j’ai prescrit","je prescrirai","que je prescrive"
"proscrire","je proscris, nous proscrivons","j’ai proscrit","je proscrirai","que je proscrive"
"récrire","je récris, nous récrivons","j’ai récrit","je récrirai","que je récrive"
"réécrire","je réécris, nous réécrivons","j’ai réécrit","je réécrirai","que je réécrive"
"réinscrire","je réinscris, nous réinscrivons","j’ai réinscrit","je réinscrirai","que je réinscrive"
"retranscrire","je retranscris, nous retranscrivons","j’ai retranscrit","je retranscrirai","que je retranscrive"
"souscrire","je souscris, nous souscrivons","j’ai souscrit","je souscrirai","que je souscrive"
"transcrire","je transcris, nous transcrivons","j’ai transcrit","je transcrirai","que je transcrive"
"être","je suis, nous sommes","j’ai été","je serai","que je sois, que nous soyons"
"faillir","je faux, nous faillons","j`ai failli","je faillirai","que je faillisse"
"défaillir","je défaille, nous défaillons","j`ai défailli","je défaillirai","que je défaille"
"faire","je fais, nous faisons","j’ai fait","je ferai","que je fasse, que nous fassions"
"contrefaire","je contrefais, nous contrefaisons","j’ai contrefait","je contreferai","que je contrefasse, que nous contrefassions"
"défaire","je défais, nous défaisons","j’ai défait","je déferai","que je défasse, que nous défassions"
"malfaire","je malfais, nous malfaisons","j’ai malfait","je malferai","que je malfasse, que nous malfassions"
